	LSI_Component	Tech_Covariate	Correlation
0	LSI_1	n_genes_by_counts	0.5771826042208267
1	LSI_1	total_counts	0.5269143649197788
2	LSI_2	n_genes_by_counts	0.018459286513377603
3	LSI_2	total_counts	-0.00951182022062441
4	LSI_3	n_genes_by_counts	0.08220577195844438
5	LSI_3	total_counts	0.12222632517621466
6	LSI_4	n_genes_by_counts	-0.0012386197308770766
7	LSI_4	total_counts	-0.0035570363875780785
8	LSI_5	n_genes_by_counts	-0.007573584030221988
9	LSI_5	total_counts	0.0014256222505367967
10	LSI_6	n_genes_by_counts	-0.03194361272852746
11	LSI_6	total_counts	-0.05076320330861634
12	LSI_7	n_genes_by_counts	-0.021034260700489565
13	LSI_7	total_counts	-0.021337242251041257
14	LSI_8	n_genes_by_counts	-0.05082383331183969
15	LSI_8	total_counts	-0.06825223704499711
16	LSI_9	n_genes_by_counts	-0.022934859861413488
17	LSI_9	total_counts	-0.023055044956162608
18	LSI_10	n_genes_by_counts	0.08973679342482886
19	LSI_10	total_counts	0.10854527922169224
20	LSI_11	n_genes_by_counts	0.019342688077826044
21	LSI_11	total_counts	0.017688302452627185
22	LSI_12	n_genes_by_counts	0.022720750460719683
23	LSI_12	total_counts	0.027712525499567375
24	LSI_13	n_genes_by_counts	-0.0032338272819474115
25	LSI_13	total_counts	-0.0062181425849569035
26	LSI_14	n_genes_by_counts	-0.005141662060169559
27	LSI_14	total_counts	-0.004872388233046609
28	LSI_15	n_genes_by_counts	-0.0074486835910555355
29	LSI_15	total_counts	-0.006861821179283137
30	LSI_16	n_genes_by_counts	0.05655656447709505
31	LSI_16	total_counts	0.07440663221215937
32	LSI_17	n_genes_by_counts	0.011469438006387847
33	LSI_17	total_counts	0.01670218697446278
34	LSI_18	n_genes_by_counts	-0.008620668072800593
35	LSI_18	total_counts	-0.010743757857545853
36	LSI_19	n_genes_by_counts	0.013800193713973166
37	LSI_19	total_counts	0.013632878695350844
38	LSI_20	n_genes_by_counts	0.007048836259171415
39	LSI_20	total_counts	0.007095139462994405
